IDCLI;IDVENDEDOR;PCOD;QTDVENDA;MVALOR3;VLVENDA;TENDENCIA;QP_AMAIS;QP_AMENOS;VB1;VB2;V_AMAIS;V_AMENOS;V_META;V_PROJ;TENDENCIA;A1A2;Q1;Q2;Q3;Q4;Q1A;Q2A;Q3A;Q4A;V1;V2;V3;V4;V1A;V2A;V3A;V4A
229;25;887;2;42.22;66.08;"1";2;0;63.72;132.16;68.44;0;73.10;73.10;"1";"-";3;0;2;2;0;0;0;0;96.51;0;63.72;66.08;0;0;0;0
229;25;962;2;138.60;180.57;"2";4;0;0;361.14;361.14;0;180.57;180.57;"2";"-";0;0;0;2;0;0;0;0;0;0;0;180.57;0;0;0;0
229;25;1233;2;196.20;272.96;"2";4;0;0;545.92;545.92;0;272.96;272.96;"2";"-";0;0;0;2;0;0;0;0;0;0;0;272.96;0;0;0;0
229;25;1234;2;118.80;160.48;"2";4;0;0;320.96;320.96;0;160.48;160.48;"2";"-";0;0;0;2;0;0;0;0;0;0;0;160.48;0;0;0;0
247;53;171;60;2973.60;3594;"2";120;0;0;7188;7188;0;3594;3594;"2";"-";0;0;0;60;0;0;0;0;0;0;0;3594;0;0;0;0
247;53;203;6;223.20;336.78;"2";12;0;0;673.56;673.56;0;336.78;336.78;"2";"-";0;0;0;6;0;0;0;0;0;0;0;336.78;0;0;0;0
247;53;1079;6;95.76;144.35;"2";12;0;0;288.70;288.70;0;144.35;144.35;"2";"-";0;0;0;6;0;0;0;0;0;0;0;144.35;0;0;0;0
247;53;1091;3;25.80;64.84;"2";6;0;0;129.68;129.68;0;64.84;64.84;"2";"-";0;0;0;3;0;0;0;0;0;0;0;64.84;0;0;0;0
247;53;3299;6;22.08;48.18;"2";12;0;0;96.36;96.36;0;48.18;48.18;"2";"-";0;0;0;6;0;0;0;0;0;0;0;48.18;0;0;0;0
247;53;3301;6;22.08;48.18;"2";12;0;0;96.36;96.36;0;48.18;48.18;"2";"-";0;0;0;6;0;0;0;0;0;0;0;48.18;0;0;0;0
249;25;23;10;419.80;799;"2";20;0;0;1598;1598;0;799;799;"2";"-";0;0;0;10;12;0;6;24;0;0;0;799;970.80;0;455.40;1821.60
249;25;24;3;125.94;239.70;"2";6;0;0;479.40;479.40;0;239.70;239.70;"2";"-";0;0;0;3;2;2;1;4;0;0;0;239.70;161.80;179.80;75.90;303.60
249;25;25;2;83.96;159.80;"2";4;0;0;319.60;319.60;0;159.80;159.80;"2";"-";0;0;0;2;2;1;1;4;0;0;0;159.80;161.80;89.90;75.90;303.60
249;25;37;4;70.92;119.60;"1";0;0;231.20;239.20;8;0;156.80;156.80;"1";"-";0;0;8;4;0;3;0;0;0;0;231.20;119.60;0;116.70;0;0
249;25;171;12;594.72;718.80;"2";24;0;0;1437.60;1437.60;0;718.80;718.80;"2";"-";0;0;0;12;18;30;20;40;0;0;0;718.80;1384.20;2507;1498;2796
249;25;175;10;228.90;359;"2";20;0;0;718;718;0;359;359;"2";"-";0;0;0;10;0;0;0;0;0;0;0;359;0;0;0;0
249;25;245;5;289.80;399.50;"2";10;0;0;799;799;0;399.50;399.50;"2";"-";0;0;0;5;0;0;0;0;0;0;0;399.50;0;0;0;0
249;25;247;2;115.92;159.80;"2";4;0;0;319.60;319.60;0;159.80;159.80;"2";"-";0;0;0;2;0;0;0;0;0;0;0;159.80;0;0;0;0
249;25;249;1;38.85;79.90;"2";2;0;0;159.80;159.80;0;79.90;79.90;"2";"-";0;0;0;1;0;0;0;0;0;0;0;79.90;0;0;0;0
249;25;251;2;115.92;159.80;"2";4;0;0;319.60;319.60;0;159.80;159.80;"2";"-";0;0;0;2;0;0;0;0;0;0;0;159.80;0;0;0;0
