FLOJA;IDPEDIDO;IDFORN;FDATAEMI;FVALCOMPRA
1;"C11174N30296F11";11;01/03/2025;20789.84
1;"C49175N26929F49";49;01/06/2025;22019.52
1;"C44176N54117F44";44;01/06/2025;14659.20
