FLOJA;IDPEDIDO;SI_CAIXA;SI_NUMFECH;FVALDEV;FDESCONTO;FSUBSIDIO;FCOMISSAO;FVALLOCA;FGDEV;FCODOP;FG_FAT;FTV;FTIPOVEN;FTIPODIG;COD_MOD;FVALES;FVALCH;FVALCT;FVALCV;FVALCA;FCARTAO
1;"L1V20420";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;863.75;1
1;"L1P20418";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;887.30;1
1;"L1V20422";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;105.04;1
1;"L1V20423";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;293.10;1
1;"L1P20428";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;239.40;0;0;1
1;"L1P20432";1;1;0;0;0;0;0;"V";"5.102";"S";"";"5";"M";"55";0;0;0;0;551;1
1;"L1V20436";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;391.44;1
1;"L1V20410";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;500.92;1
1;"L1V20429";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;473.50;1
1;"L1V20430";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;202.99;1
1;"L1V20425";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;1382.88;1
1;"L1V20438";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;545.54;1
1;"L1V20431";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;797.40;0;0;1
1;"L1V20435";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;1680.18;1
1;"L1V20426";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;307.02;1
1;"L1V20434";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;338.74;1
1;"L1P20427";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;1405.64;1
1;"L1P20437";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;400.85;1
1;"L1P20441";1;1;0;0;0;0;0;"V";"5.102";"S";"";"5";"M";"55";0;0;0;0;1024.80;1
1;"L1V20439";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;661.20;1
1;"L1V20442";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;400.60;0;0;1
1;"L1V20444";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;273.10;1
1;"L1V20440";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;24.18;1
1;"L1V20446";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;433.10;1
1;"L1V20443";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;425.29;1
1;"L1V20447";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;702.69;1
1;"L1V20448";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;528.90;1
1;"L1V20450";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;386.94;1
1;"L1P20449";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;7753;1
1;"L1V20451";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;643.70;1
1;"L1V20452";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;643.70;1
1;"L1V20455";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;643.70;1
1;"L1P20407";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;8183.16;1
1;"L1V20404";1;1;0;0;0;0;0;"V";"6.102";"S";"S";"5";"V";"55";0;0;1927.50;0;0;1
1;"L1V20433";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;389;0;0;1
1;"L1V20453";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;676.74;1
1;"L1P20459";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;226.20;1
1;"L1V20462";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;263.74;1
1;"L1V20456";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;623.94;1
1;"L1V20457";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;84.27;1
1;"L1P20461";1;1;0;128.48;0;0;0;"V";"6.102";"S";"S";"5";"M";"55";0;0;0;0;2087.86;1
1;"L1P20467";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;243.10;1
1;"L1P20473";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;398.40;1
1;"L1P20474";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;510.16;1
1;"L1V20470";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;662.30;1
1;"L1V20468";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;1936.44;1
1;"L1V20472";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;312.41;1
1;"L1P20465";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;1615.30;1
1;"L1P20464";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;273.10;1
1;"L1V20469";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;1208.43;1
1;"L1P20477";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;205.20;1
